timestamp,indication_counter,latency_us,ue1_ngap_id,ue1_ran_ue_id,ue1_prb_dl,ue1_prb_ul,ue1_pdcp_dl_kb,ue1_pdcp_ul_kb,ue1_delay_us,ue1_thp_dl_kbps,ue1_thp_ul_kbps,ue1_is_burst,ue1_prb_allocation,ue2_ngap_id,ue2_ran_ue_id,ue2_prb_dl,ue2_prb_ul,ue2_pdcp_dl_kb,ue2_pdcp_ul_kb,ue2_delay_us,ue2_thp_dl_kbps,ue2_thp_ul_kbps,ue2_is_burst,ue2_prb_allocation,rc_drb_id,rc_qfi,rc_mapping_ind
1.76159E+15,28,1.76159E+15,21,1,180,9153,3,2081,717,4.34,2094.7,0,25,22,2,155,16079,3,8091,210,4.2,8136.27,0,97,5,9,1
1.76159E+15,29,1.76159E+15,21,1,180,8741,3,2034,327,4.34,2058.75,0,24,22,2,150,16740,2,8055,0,3.48,8261.79,0,99,5,9,1
1.76159E+15,30,1.76159E+15,21,1,180,8946,2,2069,0,3.65,2070.26,0,24,22,2,155,15810,3,8233,0,4.22,8112.7,0,97,5,9,1
1.76159E+15,31,1.76159E+15,21,1,175,9153,3,2034,0,4.3,2055.9,0,24,22,2,155,15341,3,8115,217,4.2,8158.71,0,97,5,9,1
1.76159E+15,32,1.76159E+15,21,1,190,8446,3,2034,696,4.37,2038.28,0,24,22,2,150,16655,3,8186,1346,4.18,8241.54,0,98,5,9,1
1.76159E+15,33,1.76159E+15,21,1,170,8956,3,2046,190,4.32,2059.05,0,24,22,2,150,16817,2,8197,0,3.5,8232.8,0,98,5,9,1
1.76159E+15,34,1.76159E+15,21,1,190,8695,3,2046,0,4.39,2058.81,0,24,22,2,145,16306,4,8139,337,4.87,8187.75,0,98,5,9,1
1.76159E+15,35,1.76159E+15,21,1,190,8599,3,1987,0,4.37,2000.2,0,24,22,2,155,16887,3,8174,0,4.2,8211.5,0,98,5,9,1
1.76159E+15,36,1.76159E+15,21,1,170,9393,3,2093,0,4.3,2105.96,0,25,22,2,165,15727,3,8127,0,4.3,8168.38,0,98,5,9,1
1.76159E+15,37,1.76159E+15,21,1,185,8584,3,2022,0,4.34,2035.1,0,24,22,2,145,16584,3,8162,0,4.15,8209.16,0,98,5,9,1
1.76159E+15,38,1.76159E+15,21,1,165,8985,3,2046,0,4.25,2070.94,0,24,22,2,150,16912,3,8186,872,4.2,8232.1,0,98,5,9,1
1.76159E+15,39,1.76159E+15,21,1,170,8755,3,2046,598,4.32,2047.15,0,24,22,2,170,16654,3,8186,389,4.27,8233.41,0,98,5,9,1
1.76159E+15,40,1.76159E+15,21,1,170,8837,3,2046,663,4.3,2058.89,0,24,22,2,160,16153,3,8044,117,4.22,8079.14,0,96,5,9,1
1.76159E+15,41,1.76159E+15,21,1,180,8818,3,2046,0,4.32,2059.01,0,24,22,2,155,15855,3,8103,0,4.22,8147.25,0,97,5,9,1
1.76159E+15,42,1.76159E+15,21,1,175,8840,3,2010,580,4.32,2023.44,0,24,22,2,150,16470,3,8174,719,4.2,8221.63,0,98,5,9,1
1.76159E+15,43,1.76159E+15,21,1,175,8946,3,2022,0,4.3,2036.09,0,24,22,2,155,16116,3,8304,598,4.2,8352.03,0,100,5,9,1
1.76159E+15,44,1.76159E+15,21,1,180,9225,3,2093,871,4.32,2117.52,0,25,22,2,150,16209,3,8056,463,4.2,8095.54,0,97,5,9,1
1.76159E+15,45,1.76159E+15,21,1,180,8802,3,2010,0,4.34,2011.68,0,24,22,2,170,16733,3,8328,554,4.27,8368.11,0,100,5,9,1
1.76159E+15,46,1.76159E+15,21,1,185,8913,3,2069,0,4.34,2082.76,0,24,22,2,160,16387,3,7843,0,4.22,7887.35,0,94,5,9,1
1.76159E+15,47,1.76159E+15,21,1,175,8595,3,1998,0,4.32,2011.42,0,24,22,2,145,16419,3,8127,530,4.18,8170.35,0,98,5,9,1
1.76159E+15,48,1.76159E+15,21,1,190,9084,3,2093,0,4.42,2106.39,0,25,22,2,150,16995,3,8469,699,4.18,8523.59,0,102,5,9,1
1.76159E+15,49,1.76159E+15,21,1,180,8869,3,1987,648,4.32,2000.52,0,24,22,2,175,16557,3,8198,364,4.3,8231.39,0,98,5,9,1
1.76159E+15,50,1.76159E+15,21,1,180,8920,3,2046,156,4.32,2058.93,0,24,22,2,145,16078,3,8115,203,4.22,8158.21,0,97,5,9,1
1.76159E+15,51,1.76159E+15,21,1,170,9008,3,2081,205,4.3,2096.87,0,25,22,2,180,11487,12,6037,542,14.22,6083.1,0,72,5,9,1
1.76159E+15,52,1.76159E+15,21,1,185,8620,3,2046,581,4.34,2055.64,0,24,22,2,170,27988,3,16227,597,4.3,16303.71,1,106,6,4,1
1.76159E+15,53,1.76159E+15,21,1,180,8576,3,2046,229,4.34,2061.86,0,24,22,2,175,28299,3,16463,480,4.32,16550.52,1,106,6,4,1
1.76159E+15,54,1.76159E+15,21,1,175,8647,2,1986,0,3.6,1996.45,0,23,22,2,175,27729,2,16368,0,3.6,16452.83,1,106,6,4,1
1.76159E+15,55,1.76159E+15,21,1,180,9055,3,2105,0,4.32,2117.46,0,25,22,2,165,27698,3,16133,0,4.27,16224.18,1,106,6,4,1
1.76159E+15,56,1.76159E+15,21,1,160,9180,3,2022,0,4.25,2055.95,0,24,22,2,170,27381,3,16215,0,4.32,16298.48,1,106,6,4,1
1.76159E+15,57,1.76159E+15,21,1,200,8339,3,2022,0,4.42,2014.28,0,24,22,2,175,28345,3,16546,0,4.3,16638.11,1,106,6,4,1
1.76159E+15,58,1.76159E+15,21,1,185,9014,3,2081,0,4.37,2094.46,0,25,22,2,170,27997,3,16203,0,4.3,16345.41,1,106,6,4,1
1.76159E+15,59,1.76159E+15,21,1,175,8790,3,2046,0,4.34,2058.73,0,24,22,2,175,28193,3,16262,299,4.3,16293,1,106,6,4,1
1.76159E+15,60,1.76159E+15,21,1,180,8617,3,2022,0,4.32,2035.02,0,24,22,2,180,28328,3,16381,0,4.32,16461.02,1,106,6,4,1
